Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,DigitalBCG | GAMMA Data Scientist,-1,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.",4.4,"Boston Consulting Group
4.4",Melbourne,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
1,Data Scientist,"$135,000 /yr (est.)","Overview
Our client is seeking experienced Data Scientist to assist with the delivery of various ICT Projects across the Division.
Essential criteria
· Data mining or extracting usable data from valuable data sources
· Using machine learning tools to select features, create and optimize classifiers
· Carrying out preprocessing of structured and unstructured data
· Enhancing data collection procedures to include all relevant information for developing analytic systems",-1.0,Interpro People,Sydney,-1,-1,-1,-1,-1,-1
2,Data Scientist,-1,"An exciting opportunity has arisen for a Data Scientist to join Findex’s dynamic Performance Consulting team.
An exciting opportunity has arisen for a Data Scientist to join Findex’s dynamic Performance Consulting team.
The Opportunity Ahead:
Reporting into the Partner for Data Science, you will work with data science team to develop cloud-based applications and provide data science consulting to our clients.
The ideal candidate has strong technical skills and deep industry experience who can demonstrate the ability to transform and integrate data to build predictive models or provide insights, for enabling better decision making, operational improvements and increased revenue.",3.3,"Findex
3.3",Australia,1001 to 5000 Employees,-1,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable
3,Data Quality Scientist,"$112,729 /yr (est.)","SYNOPSIS:
Data Quality Scientist


Applications Close Tuesday 25th May 2022 11:59PM AEST
Ongoing
Contact name: Simon Oliver
Phone: (02) 6249 9770",4.3,"Geoscience Australia
4.3",Canberra,501 to 1000 Employees,2001,Government,National Services & Agencies,Government & Public Administration,$100 to $500 million (USD)
4,"Data Science Intern, 2022/2023 Summer Australia",-1,"Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Does the thought of uncovering the next big 'aha!' insight excite you? Do you love solving tough problems, and flourish with variety? Come join Atlassian's growing Analytics & Data Science team for the summer and use your skills to influence millions of teams around the world!

Applicants must have Australian citizenship, Australian Permanent Residency or NZ citizenship at time of application.",4.6,"Atlassian
4.6",Sydney,5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
5,Senior Data Scientist x 2,"$146,990 /yr (est.)","Organisation/Entity: Transport For NSW
Job Category: Projects
Job Location: Macquarie Park, NSW, AU, 2113
Job Ref No: 64441
Employment Type: Permanent Full-Time
Salary Range: $138670.0-$155309.0
About us

Transport for NSW keeps our State moving by providing safe, integrated and efficient transport systems. We put our customers at the centre of everything we do – and we do a lot. We connect people, communities and industry and manage how they use our road, rail and maritime networks and services, and even active modes like walking and cycling. The work we do connects the journeys you take every day.",3.7,"NSW Government -Transport For NSW
3.7",Sydney,501 to 1000 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
6,Graduate Data Scientist - Melbourne,-1,"IT & Telecomms
Permanent / Full Time
Melbourne
9/5/2022
Be part of a high performing team with a great team culture
We invest time in our people and help them chart their own career trajectory
Flexible work options, competitive salary with generous leave benefits
Based in Melbourne, the Graduate Data Scientist will work alongside product management, software engineering, and project delivery teams, the Data Scientist contributes to the development and enhancement of digital products and data assets by applying advanced statistical and machine learning and data visualisation techniques. The Data Scientist also works with Shell Energy customers to analyse and visualise their data to develop insights and recommendations to help customers to manage energy use and reduce energy costs.",-1.0,ERM Power Limited.,Melbourne,-1,-1,-1,-1,-1,-1
7,Data Scientist,-1,"At HelloFresh, we want to change the way people eat forever by offering our customers high quality food and recipes for different meal occasions. Over the past 10 years, we've seen this mission spread around the world and beyond our wildest dreams. Now, we are a global food solutions group and the world's leading meal kit company, active in 16 countries across 3 continents. So, how did we do it? Our weekly boxes full of exciting recipes and fresh ingredients have blossomed into a community of customers looking for delicious, healthy and sustainable options. The HelloFresh Group now includes our core brand, HelloFresh, as well as: GreenChef, EveryPlate, Chef's Plate, Factor, and Youfoodz.
Job Description
The Data Scientist will be based in our head office, in Chippendale and this is a fantastic opportunity for a data-driven individual who aspires to become a full-stack data scientist. We are looking for a driven, communicative person with strong programming, analytical and problem solving skills. Ideally you are a tech savvy person with experience using SQL and Python.",3.7,"HelloFresh
3.7",Sydney,10000+ Employees,2011,Company - Public,Beauty & Wellness,Personal Consumer Services,$5 to $10 billion (USD)
8,Data Scientist,-1,"Job description
Location- Remote first.
East coast Australia. Sydney, Melbourne, Brisbane, Hobart.
TCS, Client is Home In
REQUIRED SKILLS:
Python, AWS EMR, S3, SQL, RedShift
Tableau, Excel.
Experience: 2+ years
Note: should be Australia PR/Dependent visa
Job Type: Full-time",-1.0,iVEGA Consulting,Parramatta,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
9,Data Scientist,-1,"NVIDIA is the world leader in Visual Computing and in the last few years, with its unparalleled GPU based computers, has been powering up all of worlds of Deep Learning, AI, accelerated data analytics, autonomous vehicles and robots around the world. NVIDIA's customers include global tech-titans and span multiple verticals such as Manufacturing, Automotive, Aerospace, Healthcare and others. NVIDIA is well positioned as the top ‘AI Computing Company’.
We are rapidly growing into various verticals as stated above and looking to grow our team with a technical leader. This role is a key member of the NVIDIA team that would manage our technical engagements in leading industries such as financial, retail, consumer internet, healthcare, video analytics, manufacturing, HPC applications and others; and to evangelize NVIDIA’s portfolio of technologies and accelerate its adoption. Have strong technical competence and the ability to be a leader who can function effectively and independently in a matrixed environment.
#deeplearning",4.6,"NVIDIA
4.6",Remote,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
10,Data Scientist,"$125,000 /yr (est.)","Job description
Data Scientist Skills
Programming Skills – knowledge of statistical programming languages like R, Python, and database query languages like SQL, Hive, Pig is desirable. Familiarity with Scala, Java, or C++ is an added advantage.
Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators, etc. Proficiency in statistics is essential for data-driven companies.
Machine Learning – good knowledge of machine learning methods like k-Nearest Neighbors, Naive Bayes, SVM, Decision Forests.
Strong Math Skills (Multivariable Calculus and Linear Algebra) - understanding the fundamentals of Multivariable Calculus and Linear Algebra is important as they form the basis of a lot of predictive performance or algorithm optimization techniques.",-1.0,GoTech Solutions Pty Ltd,Sydney,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
11,Data Scientist,-1,"Our Company: Faethm by Pearson is an augmented analytics platform that provides scenario-driven predictive analytics on the impact of external trends on the workforce. Our SaaS AI-driven capability is the world’s data source for navigating external impacts like AI/ robotic technologies, the evolution of work, and Covid-19 on the workforce. Our data, analytics and insights help clients evaluate the impact of these trends on any economy, industry, organisation, or job to suggest viable transition pathways for impacted employees into 'future proof' career pathways.
*
The role: * Faethm’s data science team is responsible for the development of core IP through a scientific research-driven approach. We are looking for talented individuals to contribute to the expansion of our data science IP.",4.6,"Faethm
4.6",Sydney,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
12,Senior Data Scientist,-1,"Requisition ID: 65983
Job Category: Digital; Information Technology
Location: Brisbane, Queensland, Australia

With over six decades of business and technical experience in the mining, energy, and infrastructure sectors, we see challenges evolving in every industry. We respond quickly with solutions that are smarter, more efficient, and innovative. We draw upon our 9,000 staff, with experience in over 150 countries, to challenge the status quo and create positive change for our clients, our employees, and the communities we serve.

We're at the forefront of our clients' digital transformation journey, successfully implementing emerging digital services into our clients' projects and operations that unlock a step change in their performance. Join the team to improve project outcomes, leverage the digital twin, deliver systems integration and interoperability, and support decision-making, autonomous execution, and integrated operations and performance centers.",4.0,"Hatch
4.0",Brisbane,10000+ Employees,1955,Company - Private,Mining & Metals,"Energy, Mining, Utilities",$1 to $2 billion (USD)
13,Data Scientist,-1,"Location: Sydney
This position requires a thorough understanding of knowledge, concepts and processes within its job area
The position works autonomously with minimal supervision

Two of Australia’s leading telecommunication companies, Vodafone Hutchison Australia and TPG, have come together to form TPG Telecom Limited. TPG Telecom has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and felix. As the second largest telecommunications company listed on the ASX, TPG Telecom has a strong challenger spirit and a commitment to delivering the best services and products to our customers. We are driving competition and choice for businesses and consumers across Australia.",3.6,"TPG Telecom
3.6",North Sydney,501 to 1000 Employees,2020,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD)
14,Graduate Data Scientist - Melbourne,-1,"Be part of a high performing team with a great team culture
We invest time in our people and help them chart their own career trajectory
Flexible work options, competitive salary with generous leave benefits

Based in Melbourne, the Graduate Data Scientist will work alongside product management, software engineering, and project delivery teams, the Data Scientist contributes to the development and enhancement of digital products and data assets by applying advanced statistical and machine learning and data visualisation techniques. The Data Scientist also works with Shell Energy customers to analyse and visualise their data to develop insights and recommendations to help customers to manage energy use and reduce energy costs.

To succeed in this role, the Graduate Data Scientist will need to build an understanding of the energy industry. This includes understanding the flow and manipulation of meter data, the trading of electricity on various markets, the breadth of commercial tariffs in use and new and emerging energy technologies.



Ideally you will be currently studying for, or recently achieved Ph.D. or Master’s degree in applied statistics, machine learning, artificial intelligence, or a related quantitative discipline (Engineering, Computer Science, Statistics, Mathematics, etc.).





At Shell Energy we work in a culture of care and curiosity, and encourage innovation and collaboration. We support flexible working and embrace a diverse and inclusive environment, with people who are passionate about disrupting the industry and simplifying energy for our customers. Guided by our three core values – respect, integrity and honesty – we focus relentlessly on delivering outstanding service and cutting-edge solutions to our customers. We do this by employing the best people in the business, and empowering them to get on and do what they do best.



Shell Energy is Shell’s renewables and energy solutions business in Australia, helping its customers to decarbonise and reduce their environmental footprint.

Shell Energy delivers business energy solutions and innovation across a portfolio of electricity, gas, environmental products and energy productivity for commercial and industrial customers, while our residential energy retailing business Powershop, acquired in 2022, serves more than 185,000 households and small business customers in Australia.

As the second largest electricity provider to commercial and industrial businesses in Australia, Shell Energy offers integrated solutions and market-leading customer satisfaction, built on industry expertise and personalised relationships. The company’s generation assets include 662 megawatts of gas-fired peaking power stations in Western Australia and Queensland, supporting the transition to renewables, and the 120 megawatt Gangarri solar energy development in Queensland.

Shell Energy Australia Pty Ltd and its subsidiaries trade as Shell Energy, while Powershop Australia Pty Ltd trades as Powershop. Further information about Shell Energy and our operations can be found on our website. https://shellenergy.com.au",4.0,"Shell Energy
4.0",Melbourne,1001 to 5000 Employees,2004,Subsidiary or Business Segment,Energy & Utilities,"Energy, Mining, Utilities",$500 million to $1 billion (USD)
15,Earth Observation Data Scientist,"$94,842 /yr (est.)","SYNOPSIS:
Earth Observation Data Scientist

Applications Close Sunday 30th of May 2022 11:59PM AEST
Ongoing
Contact name: Imam Alam
Phone: (02) 6249 9802
Email: Imam.Alam@ga.gov.au",4.3,"Geoscience Australia
4.3",Canberra,501 to 1000 Employees,2001,Government,National Services & Agencies,Government & Public Administration,$100 to $500 million (USD)
