,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Analyst Data Insight,-1,"Work type: Permanent Full time
Pay Level: Group 2
Reports to: William Ly
View Role purpose statement
Opportunity for a Junior Data Analyst!
Be supported to learn and grow whilst developing the career you want in data
Use your reporting and analytics expertise to drive positive outcomes for our customers and colleagues

About the role:",3.8,"NAB - National Australia Bank
3.8",Melbourne,10000+ Employees,-1,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
1,Data Analyst / Administrator,$31.50 /hr (est.),"3 Month Contract available| $30-$33 per hour + Super |Full-Time Office Hours based in South Melbourne

Your new company
An excellent opportunity has become available for a Data Analyst / Administrator to join this manufacturing organisation in their South Melbourne office.

Your new role
Daily financial reporting (Excel = VLookups / Pivot Tables)
Organising customer presentations on PowerPoint
General Administration






If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to samantha.leeson@hays.com.au

If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career

#2640289",3.7,"HAYS
3.7",Melbourne,5001 to 10000 Employees,1968,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $2 billion (USD)
2,Data Engineer Analyst,-1,"Being part of Networks & IT means you'll be part of a team that focuses on extending our network superiority to enable the continued execution of our digital strategy.
The role with us
As a Data Engineer, you’re responsible for ingesting and optimising data into data platforms, so that inform data driven decisions can be made to improve business outcomes and gain a competitive advantage. You will play a key role in building Telstra’s data capability with high quality, reliable and readily available data.
This role requires Australian Citizenship.
Key Responsibilities:",3.9,"Telstra
3.9",Australia,10000+ Employees,1901,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
3,Insights Analyst - Data Analytics,-1,"You will be partnering with a range of stakeholders within Macquarie, as you own and deliver exciting analytical projects across both Financial Crime and Fraud.
You will work in a fast-paced, agile environment full of complex challenges, whilst using technology to drive business and operational decisions.
In this role, you will be:
owning and delivering analytics projects and automated data solutions across both Financial Crime and Fraud.
develop insightful metrics and create dashboards to visualize fraud data and trends.
create appropriate documentation that allows stakeholders to understand the analysis.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
4,Data Management (Governance) Analyst,-1,"This is an exciting new opportunity in the Commodities and Global Markets Enterprise Data Management team, to work closely with stakeholders to identify, map, and measure critical data. These activities are critical to embedding the Group’s data governance framework and culture within our fast-paced, markets facing business unit.
As a Data Management Analyst within the Commodities and Global Markets Data Management team, you will play a key role in the implementation of Macquarie’s data management program within the Group. You will be working with various subject matter experts at all levels, across a broad range of change initiatives (including systems and process improvements and regulatory reporting obligations) to manage and promote data governance activities.
You will make your mark through your excellent communication skills, resilient character and building an appreciation of the benefits of data governance within the business. Your key responsibilities will include:",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
5,Technical Business Analyst,-1,"Join as an experienced Business Analyst on a 12-month contract basis, where we are looking for someone who will thrive in a fast-paced, delivery focused environment and draw on your collaborative and problem-solving skills to achieve optimal outcomes. You will have experience in Financial Services, with excellent stakeholder management skills. As our Business Analyst, you will be capable of working within a small, targeted team or as an individual consultant to an area and will need to have a flexible approach and adapt easily in a dynamic environment where priorities can shift. Additionally, having a strong sense of ownership to follow your deliverables through to closure will be paramount, as will be the confidence to challenge ideas and processes, enabling the teams you work in to deliver more efficient outcomes.
The role will see you collaborating with a range of both technical and non-technical stakeholders across multiple levels, while using your structured approach and analytical thinking to work on multiple projects. You will work closely with service owners, product owners, technical experts, and scrum teams to refine and write user stories and support the agile delivery of projects, using your diverse skills and approach to work collaboratively on technology-enabled initiatives within a large enterprise environment. You will be involved in gathering, validating and documenting business requirements and mapping the requirements to solutions, leading ongoing reviews of business processes and developing optimization strategies.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
6,Business Analyst,-1,"Utilise your prior experience as a Business Analyst and join our Banking and Financial Services team. This role will give you the opportunity to drive digital transformation for our clients/staff within Banking and Asset Finance. If you are driven and excited by creating digital transformation, you will find this role extremely fulfilling.
What impact will you have?
In this role, you will be:
Working closely with business stakeholders, Product Owner and Scrum team to ensure features and stories are refined and ready, with acceptance criteria complete.
Analysing data & processes to drive viable solutions that enhance our client/employee experience.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
7,Junior Data Analyst,-1,"Role overview:
Hearts & Science, Australia

Full time, flexible working
Sydney
Our culture
Our agency culture is prized and something we work hard at maintaining. We describe our culture as 'Winning with Heart', where we blend both to achieve a culture where people can flourish, be the best they can be and importantly be true to themselves.

4 key values inform everything we do:
Hearts' focus
At Hearts, we're defining the future of media, using data to sharpen our understanding of consumers and the media's impact on business outcomes. This approach requires rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
What are we looking for?
Supporting our Australia and New Zealand teams, we are looking for a Junior Data Analyst in a to help build out our data capabilities and work with our global teams to develop greater insights from our client's data
This role will see you work with some of our key clients in the region as well as be instrumental in our new business pitches moving forward.
Your day to day

*
The people who will flourish at Hearts are fluent in digital, interested in using data to inform and technology platforms to enable. More specifically:

Hearts & Science, Australia
Hearts is a full-service data driven marketing and communications agency, and the third global agency pillar of the Omnicom Media Group. Launched in New York in 2016, after the successful appointment by Proctor & Gamble and AT&T shortly thereafter, Hearts offers a differentiated people, process and technology-driven approach to clients, challenging existing agency models to drive greater ROI and leveraging the OMNI audience platform.
Since launch, Hearts has continued to grow, innovate and deliver, extending its network to 24 markets around the world, including London, Tokyo, Toronto and Dubai.
Hearts is in the business of capturing hearts. The hearts of our people, our clients and our clients' customers. To do this requires the alignment of ambition, teams, innovation, creativity, audiences and media to deliver a disproportionate share of ROI. This means rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
For more information, please apply with an up to date version of your resume or email fraser.rix@omnicommediagroup.com with any questions.",3.3,"Hearts & Science
3.3",Sydney,1001 to 5000 Employees,2015,Company - Public,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD)
8,Data Analyst,-1,"You are passionate about all things data related with a positive attitude
We are a high performing team with a passion for innovation and continuous improvement.
Together we can deliver an exemplary experience for our stakeholders and the Group
See yourself in our team
CommInsure helps protect the lifestyles of more than three million Australians through a wide range of insurance, superannuation and investment services. Our insurance business has been a part of the Australian insurance industry for more than one hundred years. Each year CommInsure pays more than $1 billion in insurance claims.





Advertising End Date: 27/05/2022",4.1,"Commonwealth Bank
4.1",Sydney,10000+ Employees,1911,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD)
9,Data Analyst,-1,"About : Different

We’re rebuilding property management.

We want to make it amazing for owners and tenants through a perfect balance of great people and industry-leading technology.

: Different is a venture-backed, high-growth company, hailed as a disruptor by major media and making waves in the 4 billion dollar property management sector. Our founders have come from Google and Uber in Silicon Valley, building out a team of the best and brightest in their fields.

Our mission is to take care of homes and the people in them. We’re starting with rebuilding property management by taking care of investment property homes for Australian owners and tenants.

We are in a massive growth & scale period and this is the perfect time to join a fun & supportive team environment and grow your career with us.


Ideally you would need to have some runs on the board for providing value in the technical space, whether it be via delivering improvements, supporting technical requirements, or managing projects. You will thrive in a fast paced environment and enjoy playing a key role in a changing & growing business.

You enjoy extracting data and sharing valuable insights with others
Experience with Google Suite including Sheets
Proficient in at least one of R, Python, SQL. Knowledge in SQL preferred.
Strong analyst skills and the ability to engage with multiple stakeholders, work independently across various engagements and manage competing priorities
Ability to comprehend business needs and convert them into analytics requirements
Excellent written and presentation communication skills.


Generating weekly and monthly KPI reports, with a focus on operations utilisation and customer satisfaction
Work collaboratively across different functional areas to identify, collect and consolidate existing data and missing data
Playing a key role in supporting the business on a day-to-day basis with the ability to manage multiple priorities in a changing and growing business

Different?

Long-term career opportunities - as an early employee, there’s lots of opportunity to grow professionally
Great salary PLUS super PLUS bonus PLUS equity on offer!
Flexible working hours from our beautiful waterfront Sydney offices
Mentorship from our Strategic Operations Manager (and our other amazing leaders!), and the opportunity to learn new skills in a safe and supportive environment
Work from home 2 days a week
Challenge - in a high growth phase, this won't be easy, but we can guarantee it will be rewarding

: Different is an Equal Employment Opportunity employer that values the strength diversity brings to the workplace. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills, and creating an inclusive environment for all employees. The more inclusive we are, the better our work will be.",-1,:Different,Sydney,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
