Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,salary,company_txt,age,python_yn,spark_yn,aws_yn,excel_yn,communication_yn
Data Scientist,"$135,000 /yr (est.)","Overview
Our client is seeking experienced Data Scientist to assist with the delivery of various ICT Projects across the Division.
Essential criteria
· Data mining or extracting usable data from valuable data sources
· Using machine learning tools to select features, create and optimize classifiers
· Carrying out preprocessing of structured and unstructured data
· Enhancing data collection procedures to include all relevant information for developing analytic systems",-1.0,Interpro People,Sydney,-1,-1,-1,-1,-1,-1,0,135000.0,Interpro Peo,-1,0,0,0,0,0
Data Quality Scientist,"$112,729 /yr (est.)","SYNOPSIS:
Data Quality Scientist


Applications Close Tuesday 25th May 2022 11:59PM AEST
Ongoing
Contact name: Simon Oliver
Phone: (02) 6249 9770",4.3,"Geoscience Australia
4.3",Canberra,501 to 1000 Employees,2001,Government,National Services & Agencies,Government & Public Administration,$100 to $500 million (USD),0,112729.0,"Geoscience Australia
",21,0,0,0,0,0
Senior Data Scientist x 2,"$146,990 /yr (est.)","Organisation/Entity: Transport For NSW
Job Category: Projects
Job Location: Macquarie Park, NSW, AU, 2113
Job Ref No: 64441
Employment Type: Permanent Full-Time
Salary Range: $138670.0-$155309.0
About us

Transport for NSW keeps our State moving by providing safe, integrated and efficient transport systems. We put our customers at the centre of everything we do – and we do a lot. We connect people, communities and industry and manage how they use our road, rail and maritime networks and services, and even active modes like walking and cycling. The work we do connects the journeys you take every day.",3.7,"NSW Government -Transport For NSW
3.7",Sydney,501 to 1000 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,0,146990.0,"NSW Government -Transport For NSW
",-1,0,0,0,0,0
Data Scientist,"$125,000 /yr (est.)","Job description
Data Scientist Skills
Programming Skills – knowledge of statistical programming languages like R, Python, and database query languages like SQL, Hive, Pig is desirable. Familiarity with Scala, Java, or C++ is an added advantage.
Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators, etc. Proficiency in statistics is essential for data-driven companies.
Machine Learning – good knowledge of machine learning methods like k-Nearest Neighbors, Naive Bayes, SVM, Decision Forests.
Strong Math Skills (Multivariable Calculus and Linear Algebra) - understanding the fundamentals of Multivariable Calculus and Linear Algebra is important as they form the basis of a lot of predictive performance or algorithm optimization techniques.",-1.0,GoTech Solutions Pty Ltd,Sydney,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,0,125000.0,GoTech Solutions Pty ,-1,1,0,0,0,0
Earth Observation Data Scientist,"$94,842 /yr (est.)","SYNOPSIS:
Earth Observation Data Scientist

Applications Close Sunday 30th of May 2022 11:59PM AEST
Ongoing
Contact name: Imam Alam
Phone: (02) 6249 9802
Email: Imam.Alam@ga.gov.au",4.3,"Geoscience Australia
4.3",Canberra,501 to 1000 Employees,2001,Government,National Services & Agencies,Government & Public Administration,$100 to $500 million (USD),0,94842.0,"Geoscience Australia
",21,0,0,0,0,0
APS 4/5-6 (S&T 3-4) - Adversarial Machine Learning Researcher/Engineer,"$82,842 /yr (est.)","$69,811 - $95,873 (plus super)
Edinburgh - SA
The Role
This role can be filled as either:

Adversarial Machine Learning Researcher
Adversarial Machine Learning Engineer

You will be part of an S&T team working in the area of Adversarial Machine Learning (AML) undertaking applied research, or engineering tasks, towards quantifying and enhancing the robustness of Machine Learning (ML) solutions for Defence applications.

AML involves countering data-driven attacks on ML solutions, whereby malicious actors modify training or test data to mislead and/or subvert ML predictions. You will help to devise, or implement and evaluate, new robust learning approaches suitable for adversarial environments and undertake research and development into the design and assessment of robust ML solutions for Defence applications, including reinforcement learning and deep learning.

Both roles provide exposure to S&T challenges in cyber security and operations in a military context. In addition, there exists the opportunity to work closely with Australian and international research partners, Defence clients and cyber security domain experts. You will also be supported with training in aspects of cyber security and ML as required, and encouraged to further develop your expertise.

will also be encouraged to engage with the scientific community. The AML Researcher, under guidance and as part of a multi-disciplinary team, will:


, under guidance and as part of a multi-disciplinary team, will:



Cyber and Electronic Warfare Division undertakes research and development focused on identifying, analysing and countering threats to Australia’s defence and national security through electronic means.

Cyberwarfare Operations branch undertakes research and development to help Australian Defence develop an effective cyber warfare capability that enables fight-through in a contested cyber environment.

The Counter Cyber Threats group undertakes research and development to identify, understand and defeat threats to key cyber terrain. Their work supports ADF cyber operations, with a particular focus on defence of military mission systems and platform systems.


We are looking for candidates who can build and sustain positive relationships with team members, actively participate in team work and group activities, work collaboratively and operate as effective team members.

The ideal AML Researcher shall also be able to:


While the ideal AML Engineer shall also be able to:",3.8,"Australian Government Department of Defence
3.8",Adelaide,10000+ Employees,-1,Government,National Services & Agencies,Government & Public Administration,$10+ billion (USD),0,82842.0,"Australian Government Department of Defence
",-1,0,0,0,0,0
Data Scientist & Senior Data Scientist,"$135,002 /yr (est.)","Full time maximum term positions up to 12 months
Salary range: VLA4 $95,043 - $118,801, VLA5 $118,802 - $151,201 + super
Attractive employee benefits including salary packaging
About the role: The Senior Data Scientist and Data Scientist play a key role in delivering on VLA's program of analytics work, including working collaboratively across the organisation to identify and provide recommendations on the prioritisation of work in line with the VLA strategy. Reporting to the Manager, Business Intelligence and Analytics, you will drive and implement the development of new predictive data models and work closely with internal stakeholders to provide ad-hoc analysis, training, advice and support in order to improve the quality and value of core data assets and uplift the workforce's data capabilities.We have two full time maximum term positions available including; Senior Data Scientist (VLA5) and Data Scientist (VLA4).
You are a data scientist with experience in developing predictive/analytical models and demonstrate high calibre data capability and drive to ensure that reliable data is applied in decision making. You bring significant experience working with Python, R or similar programming language in an analytical context, and a working knowledge of SQL. You demonstrate the ability to present findings using contemporary dashboarding tools such as Tableau, Power BI or similar. Your ability to prioritise tasks, meet deadlines and work collaboratively as part of a multi-disciplinary team will be highly regarded.Crucial to your success in the role will be your outstanding interpersonal and communication skills, ability to present complex concepts clearly, influence, consult and negotiate with people across all levels of the organisation, including to a non-technical cohort.About Victoria Legal Aid: Our vision is for a fair and just society where rights and responsibilities are upheld. With over 1000 staff employed in 15 offices across Victoria, we help people with their legal problems by providing information, advice and education with a focus on the prevention and early resolution of legal problems. We also provide legal representation to those who need it most.Employee benefits: We offer attractive employment benefits including salary packaging, flexible working arrangements under a hybrid work model, family friendly policies and opportunities for professional development. Whilst the work is challenging, you will be rewarded with a culture that is focused on achieving quality outcomes for disadvantaged Victorians.How to apply: Submit a current resume and completed candidate application form. You must complete the candidate application form to be considered for this role. Separate responses to the KSC outlined in the position description are not required. Please also include the contact details of two referees. VLA employees are required to comply with the Victorian Minister for Health's mandatory vaccination orders and therefore must be vaccinated against COVID-19. It is also a requirement that staff attend for office-based days at their primary work location. In line with this requirement, interstate applications will be considered only where the candidate is able and willing to relocate to Victoria, unless part of a border community.For further information review the attached position description or contact Alethea Belford on (03) 9269 0235.No agency applications will be accepted.Applications close 11.59pm on Wednesday 25 May 2022",4.2,"Victoria Legal Aid
4.2",Melbourne,51 to 200 Employees,-1,Government,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,135002.0,"Victoria Legal Aid
",-1,1,0,0,0,1
Data Scientist - Global Brand!,"$110,000 /yr (est.)","Global Organisation - One of the biggest brands in the world!
Python, R, Predictive Modelling
12 Month Fixed Term Contract Initially
Where you'll be working:

Join one of the biggest brands in the world using the latest Data Science tools in the market to solve key business issues!

You will join a team of analysts working on building predictive models and insights for key business areas such as marketing and digital.

This is a massive brand with a very supportive manager which will be great for career progression, the role is inistially set up on a 12 month fixed term contract with potential to go perm in the future!

Salary will range from $100,000 - $120,000 depending on experience.









This is a rare chance to take your career to the next level with a company that is 100% dedicated to Data and growing their capability!

There is an

If this sounds like the perfect job role for you, please apply within or contact Adam on 0478 026 276.
BBBH46901_165032584034441",4.3,"Aurec
4.3",Sydney,51 to 200 Employees,2002,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,0,110000.0,"Aurec
",20,1,0,0,0,0
PhD Scholarship in Machine Learning,"$28,870 /yr (est.)","Deep Machine Learning and AI models
Full time, fixed term position at our Hawthorn campus
3-year stipend of $28,870pa


About the Scholarship
We are seeking a motivated, ambitious and curious PhD candidate for the Australian Research Council funded Discovery Project Holobody: Advancing the Future of Mixed Reality Technologies. The project will pioneer a new approach to human-machine interaction in immersive media (XR) called ‘volumetric capture’ (VI). The project aims generate a completely novel approach to interaction in cyber-physical systems, which will have applications in both XR and robotic systems across a wide range fields, e.g. manufacturing, health and the arts.

The PhD will be located within the vibrant research culture of Swinburne University of Technology’s Centre for Transformative Media Technologies, and supervised by members of the Holobody research team, including Professor Kim Vincs and Dr John McCormick at Swinburne, and Professor Ryszard Kowalczyk, SmartSat CRC Chair, Artificial Intelligence, at Uni SA. The project is embedded within the strongly collaborative framework of Swinburne’s MedTechVic, a $6.7M initiative of the Victorian State Government that connects individuals, organisations and researchers across the assistive and medical technology device sector in Victoria. The candidate will also enjoy support via the CRC SmartSat Artificial Intelligence group at Uni SA. Thus, this PhD project will enjoy strong peer support and collaborative opportunities provided by three rich research cultures, and will be provided with connections to our key international collaborators in these areas.


Swinburne is a young university with a long history. As a dual-sector university of technology, born of a technical college, we are proud of Swinburne’s technology DNA, and of our national and global standing. Our contribution to Technology, Entrepreneurship, Innovation and the STEM disciplines, and our track record of meaningful industry and community engagement, are natural manifestations of the legacy initiated by the vision of our founders George and Ethel Swinburne in 1902. We offer postgraduate, undergraduate, vocational education and online education to provide students with a variety of work-relevant pathways.


To be successful in the role, you will have:

A full list of selection criteria is available within the position description.


To or to please click on or and submit a resume, cover letter and , as listed in the position description.

For further information about this position, contact : kvincs@swin.edu.au

If you are experiencing technical difficulties with your application, please contact the Recruitment team on staffrecruitment@swin.edu.au


Equity and diversity are integral to achieving our 2025 vision of bringing people and technology together to build a better world. Swinburne is a large and culturally diverse organisation and we are proud of our commitment to equity and inclusion through key initiatives such as:

For further information on all our initiatives visit our equity and diversity website. We welcome and encourage applicants from diverse backgrounds to apply.


We are committed to making the recruitment process fair and equitable for all our candidates. If you have specific accessibility or support requirements please contact , Diversity & Inclusion Manager at inclusion@swin.edu.au. For support or queries related to Aboriginal and Torres Strait Islander employment, please contact at DeadlyCareers@swin.edu.au

Swinburne offers flexible working options, leave and parenting/carer policies to support work life balance.





(Agency enquiries will not be accepted for this position) (#SW-LI)",4.0,"Swinburne University of Technology
4.0",Melbourne,1001 to 5000 Employees,1992,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,28870.0,"Swinburne University of Technology
",30,0,0,0,0,0
Data Scientist - Global Brand!,"$110,000 /yr (est.)","Global Organisation - One of the biggest brands in the world!
Python, R, Predictive Modelling
12 Month Fixed Term Contract Initially
Where you'll be working:

Join one of the biggest brands in the world using the latest Data Science tools in the market to solve key business issues!

You will join a team of analysts working on building predictive models and insights for key business areas such as marketing and digital.

This is a massive brand with a very supportive manager which will be great for career progression, the role is inistially set up on a 12 month fixed term contract with potential to go perm in the future!

Salary will range from $100,000 - $120,000 depending on experience.









This is a rare chance to take your career to the next level with a company that is 100% dedicated to Data and growing their capability!

There is an

If this sounds like the perfect job role for you, please apply within or contact Adam on 0478 026 276.
BBBH46901_165032584034441",4.3,"Aurec
4.3",Sydney,51 to 200 Employees,2002,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,0,110000.0,"Aurec
",20,1,0,0,0,0
